rikishi1,odds1,rikishi2,odds2,ts
Arawashi,2.38,Daishomaru,1.58,2017-07-08 07:25:02
Chiyonokuni,2.56,Shohozan,1.51,2017-07-08 07:25:02
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 07:25:02
Chiyotairyu,1.68,Okinoumi,2.19,2017-07-08 07:25:02
Hakuho,1.1,Kotoshogiku,7,2017-07-08 07:25:02
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 07:25:02
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 07:25:02
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 07:25:02
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 07:25:02
Shodai,3.96,Kakuryu,1.25,2017-07-08 07:25:02
Takanoiwa,1.57,Onosho,2.4,2017-07-08 07:25:02
Takarafuji,1.63,Takekaze,2.28,2017-07-08 07:25:02
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 07:25:02
Tamawashi,1.4,Ikioi,2.96,2017-07-08 07:25:02
Terunofuji,1.4,Takakeisho,2.96,2017-07-08 07:25:02
Tokushoryu,2.11,Ishiura,1.73,2017-07-08 07:25:02
Ura,2.28,Endo,1.63,2017-07-08 07:25:02
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 07:25:02
Arawashi,2.38,Daishomaru,1.58,2017-07-08 07:30:03
Chiyonokuni,2.56,Shohozan,1.51,2017-07-08 07:30:03
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 07:30:03
Chiyotairyu,1.68,Okinoumi,2.19,2017-07-08 07:30:03
Hakuho,1.1,Kotoshogiku,7,2017-07-08 07:30:03
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 07:30:03
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 07:30:03
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 07:30:03
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 07:30:03
Shodai,3.96,Kakuryu,1.25,2017-07-08 07:30:03
Takanoiwa,1.57,Onosho,2.4,2017-07-08 07:30:03
Takarafuji,1.63,Takekaze,2.28,2017-07-08 07:30:03
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 07:30:03
Tamawashi,1.4,Ikioi,2.96,2017-07-08 07:30:03
Terunofuji,1.4,Takakeisho,2.96,2017-07-08 07:30:03
Tokushoryu,2.11,Ishiura,1.73,2017-07-08 07:30:03
Ura,2.28,Endo,1.63,2017-07-08 07:30:03
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 07:30:03
Arawashi,2.38,Daishomaru,1.58,2017-07-08 07:35:03
Chiyonokuni,2.56,Shohozan,1.51,2017-07-08 07:35:03
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 07:35:03
Chiyotairyu,1.68,Okinoumi,2.19,2017-07-08 07:35:03
Hakuho,1.1,Kotoshogiku,7,2017-07-08 07:35:03
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 07:35:03
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 07:35:03
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 07:35:03
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 07:35:03
Shodai,3.96,Kakuryu,1.25,2017-07-08 07:35:03
Takanoiwa,1.57,Onosho,2.4,2017-07-08 07:35:03
Takarafuji,1.63,Takekaze,2.28,2017-07-08 07:35:03
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 07:35:03
Tamawashi,1.4,Ikioi,2.96,2017-07-08 07:35:03
Terunofuji,1.4,Takakeisho,2.96,2017-07-08 07:35:03
Tokushoryu,2.11,Ishiura,1.73,2017-07-08 07:35:03
Ura,2.28,Endo,1.63,2017-07-08 07:35:03
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 07:35:03
Arawashi,2.38,Daishomaru,1.58,2017-07-08 07:40:02
Chiyonokuni,2.56,Shohozan,1.51,2017-07-08 07:40:02
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 07:40:02
Chiyotairyu,1.68,Okinoumi,2.19,2017-07-08 07:40:02
Hakuho,1.1,Kotoshogiku,7,2017-07-08 07:40:02
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 07:40:02
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 07:40:02
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 07:40:02
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 07:40:02
Shodai,3.96,Kakuryu,1.25,2017-07-08 07:40:02
Takanoiwa,1.57,Onosho,2.4,2017-07-08 07:40:02
Takarafuji,1.63,Takekaze,2.28,2017-07-08 07:40:02
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 07:40:02
Tamawashi,1.4,Ikioi,2.96,2017-07-08 07:40:02
Terunofuji,1.4,Takakeisho,2.96,2017-07-08 07:40:02
Tokushoryu,2.11,Ishiura,1.73,2017-07-08 07:40:02
Ura,2.28,Endo,1.63,2017-07-08 07:40:02
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 07:40:02
Arawashi,2.38,Daishomaru,1.58,2017-07-08 07:45:03
Chiyonokuni,2.56,Shohozan,1.51,2017-07-08 07:45:03
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 07:45:03
Chiyotairyu,1.68,Okinoumi,2.19,2017-07-08 07:45:03
Hakuho,1.1,Kotoshogiku,7,2017-07-08 07:45:03
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 07:45:03
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 07:45:03
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 07:45:03
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 07:45:03
Shodai,3.96,Kakuryu,1.25,2017-07-08 07:45:03
Takanoiwa,1.57,Onosho,2.4,2017-07-08 07:45:03
Takarafuji,1.63,Takekaze,2.28,2017-07-08 07:45:03
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 07:45:03
Tamawashi,1.4,Ikioi,2.96,2017-07-08 07:45:03
Terunofuji,1.4,Takakeisho,2.96,2017-07-08 07:45:03
Tokushoryu,2.11,Ishiura,1.73,2017-07-08 07:45:03
Ura,2.28,Endo,1.63,2017-07-08 07:45:03
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 07:45:03
Arawashi,2.38,Daishomaru,1.58,2017-07-08 07:50:02
Chiyonokuni,2.56,Shohozan,1.51,2017-07-08 07:50:02
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 07:50:02
Chiyotairyu,1.68,Okinoumi,2.19,2017-07-08 07:50:02
Hakuho,1.1,Kotoshogiku,7,2017-07-08 07:50:02
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 07:50:02
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 07:50:02
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 07:50:02
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 07:50:02
Shodai,3.96,Kakuryu,1.25,2017-07-08 07:50:02
Takanoiwa,1.57,Onosho,2.4,2017-07-08 07:50:02
Takarafuji,1.63,Takekaze,2.28,2017-07-08 07:50:02
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 07:50:02
Tamawashi,1.4,Ikioi,2.96,2017-07-08 07:50:02
Terunofuji,1.4,Takakeisho,2.96,2017-07-08 07:50:02
Tokushoryu,2.11,Ishiura,1.73,2017-07-08 07:50:02
Ura,2.28,Endo,1.63,2017-07-08 07:50:02
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 07:50:02
Arawashi,2.38,Daishomaru,1.58,2017-07-08 07:55:02
Chiyonokuni,2.56,Shohozan,1.51,2017-07-08 07:55:02
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 07:55:02
Chiyotairyu,1.68,Okinoumi,2.19,2017-07-08 07:55:02
Hakuho,1.1,Kotoshogiku,7,2017-07-08 07:55:02
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 07:55:02
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 07:55:02
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 07:55:02
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 07:55:02
Shodai,3.96,Kakuryu,1.25,2017-07-08 07:55:02
Takanoiwa,1.57,Onosho,2.4,2017-07-08 07:55:02
Takarafuji,1.63,Takekaze,2.28,2017-07-08 07:55:02
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 07:55:02
Tamawashi,1.4,Ikioi,2.96,2017-07-08 07:55:02
Terunofuji,1.4,Takakeisho,2.96,2017-07-08 07:55:02
Tokushoryu,2.11,Ishiura,1.73,2017-07-08 07:55:02
Ura,2.28,Endo,1.63,2017-07-08 07:55:02
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 07:55:02
Arawashi,2.38,Daishomaru,1.58,2017-07-08 08:00:04
Chiyonokuni,2.56,Shohozan,1.51,2017-07-08 08:00:04
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 08:00:04
Chiyotairyu,1.68,Okinoumi,2.19,2017-07-08 08:00:04
Hakuho,1.1,Kotoshogiku,7,2017-07-08 08:00:04
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 08:00:04
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 08:00:04
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 08:00:04
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 08:00:04
Shodai,3.96,Kakuryu,1.25,2017-07-08 08:00:04
Takanoiwa,1.57,Onosho,2.4,2017-07-08 08:00:04
Takarafuji,1.63,Takekaze,2.28,2017-07-08 08:00:04
